,concat_column,Акция,Сектор,Период,Выплата на акцию (прогноз),Размер дивиденда рекомендован советом директоров,Валюта,Доходность выплаты,Цена расчета доходности,Дата закрытия реестра (оценка),Дата закрытия реестра рекомендована советом директоров,"Капитализация, млн.",DSI,Прогноз прибыли в след. 12m,Доля от прибыли,"Кол-во акций в обращении, млн. шт.",Стабильность выплат,Стабильность роста,Комментарий/Див. политика
238,Сбербанк-п годовые 2021,Сбербанк-п,Финансы и Банки,годовые 2021,23.78,No,RUB,8.46%,281.02,12.05.2022,No,94463.47,0.86,1074221.71,2.21,1000.0,1,0.71,Согласно дивидендной политике Сбербанк будет стремится выплачивать 50% чистой прибыли по МСФО. Такие дивиденды будут поддерживаться при уровне достаточности капиала в 12.5%. Выплачивают равные дивидендны по обыкновенным акциям и по префам один раз в год.
239,Северсталь I квартал 2022,Северсталь,Металлы и добыча,I квартал 2022,39.48,No,RUB,2.56%,1539.4,01.06.2022,No,17736.97,0.5,45992.86,71.9,837.72,1,0,"Дивидендная политика Северстали (весна 2018): при соотношении чистый долг/EBITDA 0,5х-1х компания будет выплачивать дивиденды в размере 100% свободного денежного потока. Если соотношение будет ниже, то, возможно, более 100%, если выше - 50%. На период интенсивной стадии инвестиционной программы (пиковые годы по инвестициям для Северстали - 2019-2021) компания будет использовать для расчета дивидендов так называемый показатель ""нормализованного свободного денежного потока"" - инвестиции, превышающие ""базовый"" уровень в $800 млн, будут исключены из расчета дивидендной базы. В прогнозах дивидендов за 2021 год учтены временные экспортные пошлины."
240,Северсталь II квартал 2021,Северсталь,Металлы и добыча,II квартал 2021,74.16,No,RUB,4.82%,1539.4,08.09.2021,No,17736.97,0.5,85429.42,72.72,837.72,1,0,"Дивидендная политика Северстали (весна 2018): при соотношении чистый долг/EBITDA 0,5х-1х компания будет выплачивать дивиденды в размере 100% свободного денежного потока. Если соотношение будет ниже, то, возможно, более 100%, если выше - 50%. На период интенсивной стадии инвестиционной программы (пиковые годы по инвестициям для Северстали - 2019-2021) компания будет использовать для расчета дивидендов так называемый показатель ""нормализованного свободного денежного потока"" - инвестиции, превышающие ""базовый"" уровень в $800 млн, будут исключены из расчета дивидендной базы. В прогнозах дивидендов за 2021 год учтены временные экспортные пошлины."
241,Северсталь III квартал 2021,Северсталь,Металлы и добыча,III квартал 2021,63.29,No,RUB,4.11%,1539.4,08.12.2021,No,17736.97,0.5,69283.49,76.53,837.72,1,0,"Дивидендная политика Северстали (весна 2018): при соотношении чистый долг/EBITDA 0,5х-1х компания будет выплачивать дивиденды в размере 100% свободного денежного потока. Если соотношение будет ниже, то, возможно, более 100%, если выше - 50%. На период интенсивной стадии инвестиционной программы (пиковые годы по инвестициям для Северстали - 2019-2021) компания будет использовать для расчета дивидендов так называемый показатель ""нормализованного свободного денежного потока"" - инвестиции, превышающие ""базовый"" уровень в $800 млн, будут исключены из расчета дивидендной базы. В прогнозах дивидендов за 2021 год учтены временные экспортные пошлины."
242,Северсталь IV квартал 2021,Северсталь,Металлы и добыча,IV квартал 2021,63.29,No,RUB,4.11%,1539.4,01.06.2022,No,17736.97,0.5,47073.35,112.64,837.72,1,0,"Дивидендная политика Северстали (весна 2018): при соотношении чистый долг/EBITDA 0,5х-1х компания будет выплачивать дивиденды в размере 100% свободного денежного потока. Если соотношение будет ниже, то, возможно, более 100%, если выше - 50%. На период интенсивной стадии инвестиционной программы (пиковые годы по инвестициям для Северстали - 2019-2021) компания будет использовать для расчета дивидендов так называемый показатель ""нормализованного свободного денежного потока"" - инвестиции, превышающие ""базовый"" уровень в $800 млн, будут исключены из расчета дивидендной базы. В прогнозах дивидендов за 2021 год учтены временные экспортные пошлины."
243,Северсталь всего 12м,Северсталь,Металлы и добыча,всего 12м,240.22,No,RUB,15.6%,1539.4,Nan,No,17736.97,0.5,247779.12,81.22,837.72,1,0,"Дивидендная политика Северстали (весна 2018): при соотношении чистый долг/EBITDA 0,5х-1х компания будет выплачивать дивиденды в размере 100% свободного денежного потока. Если соотношение будет ниже, то, возможно, более 100%, если выше - 50%. На период интенсивной стадии инвестиционной программы (пиковые годы по инвестициям для Северстали - 2019-2021) компания будет использовать для расчета дивидендов так называемый показатель ""нормализованного свободного денежного потока"" - инвестиции, превышающие ""базовый"" уровень в $800 млн, будут исключены из расчета дивидендной базы. В прогнозах дивидендов за 2021 год учтены временные экспортные пошлины."
244,Селигдар ао 9 месяцев 2021,Селигдар ао,Металлы и добыча,9 месяцев 2021,0.78,No,RUB,1.77%,44.03,24.12.2021,No,600.69,0.21,7293.63,9.01,842.36,0.29,0.14,"Устав Селигдар предусматривает фиксированный ежегодный дивиденд по префам в размере 2.25 руб. на акцию. Такой дивиденд выплачивается при условии достаточности для этих целей чистой прибыли и (или) специального фонда. В уставе не говорится о накоплении дивидендов и обязанности компании выплатить их позднее в случае, если они не выплачиваются за данный год. Согласно дивидендной политике Селигдар будет стремиться направлять на выплату дивидендов по всем типам акций не менее 30% прибыли по МСФО. При этом целевые значения выплат зависят от уровня долга компании (чистый долг/EBITDA). Если чистый долг/EBITDA < 1, то на дивиденды направляется 30% прибыли. Если чистый долг/EBITDA от 1 до 2, то - 20%. Если чистый долг/EBITDA от 2 до 3, то - 10%. Если чистый долг/EBITDA > 3, то дивиденды не выплачиваются. Текущее значение долг/EBITDA = 2.6, но компания активно снижает долг. Стабильность дивидендов низкая. По обыкновенным акциям выплачивают редко. По префам - чаще, то нередко пропускают или платят меньше. По обычке дивиденды крайне сложно прогнозируемы. По префам с большой долей неопределенности можно ожидать выплат по уставу (2.25 рублей). Возможно улучшение ситуации когда или если компания снизит долг ниже 2х по коэффициенту читый долг/EBITDA."
245,Селигдар ао всего 12м,Селигдар ао,Металлы и добыча,всего 12м,2.73,No,RUB,6.2%,44.03,Nan,No,600.69,0.21,4769.37,48.22,842.36,0.29,0.14,"Устав Селигдар предусматривает фиксированный ежегодный дивиденд по префам в размере 2.25 руб. на акцию. Такой дивиденд выплачивается при условии достаточности для этих целей чистой прибыли и (или) специального фонда. В уставе не говорится о накоплении дивидендов и обязанности компании выплатить их позднее в случае, если они не выплачиваются за данный год. Согласно дивидендной политике Селигдар будет стремиться направлять на выплату дивидендов по всем типам акций не менее 30% прибыли по МСФО. При этом целевые значения выплат зависят от уровня долга компании (чистый долг/EBITDA). Если чистый долг/EBITDA < 1, то на дивиденды направляется 30% прибыли. Если чистый долг/EBITDA от 1 до 2, то - 20%. Если чистый долг/EBITDA от 2 до 3, то - 10%. Если чистый долг/EBITDA > 3, то дивиденды не выплачиваются. Текущее значение долг/EBITDA = 2.6, но компания активно снижает долг. Стабильность дивидендов низкая. По обыкновенным акциям выплачивают редко. По префам - чаще, то нередко пропускают или платят меньше. По обычке дивиденды крайне сложно прогнозируемы. По префам с большой долей неопределенности можно ожидать выплат по уставу (2.25 рублей). Возможно улучшение ситуации когда или если компания снизит долг ниже 2х по коэффициенту читый долг/EBITDA."
246,Селигдар ао годовые 2021,Селигдар ао,Металлы и добыча,годовые 2021,1.95,No,RUB,4.43%,44.03,25.06.2022,No,600.69,0.21,4769.37,34.44,842.36,0.29,0.14,"Устав Селигдар предусматривает фиксированный ежегодный дивиденд по префам в размере 2.25 руб. на акцию. Такой дивиденд выплачивается при условии достаточности для этих целей чистой прибыли и (или) специального фонда. В уставе не говорится о накоплении дивидендов и обязанности компании выплатить их позднее в случае, если они не выплачиваются за данный год. Согласно дивидендной политике Селигдар будет стремиться направлять на выплату дивидендов по всем типам акций не менее 30% прибыли по МСФО. При этом целевые значения выплат зависят от уровня долга компании (чистый долг/EBITDA). Если чистый долг/EBITDA < 1, то на дивиденды направляется 30% прибыли. Если чистый долг/EBITDA от 1 до 2, то - 20%. Если чистый долг/EBITDA от 2 до 3, то - 10%. Если чистый долг/EBITDA > 3, то дивиденды не выплачиваются. Текущее значение долг/EBITDA = 2.6, но компания активно снижает долг. Стабильность дивидендов низкая. По обыкновенным акциям выплачивают редко. По префам - чаще, то нередко пропускают или платят меньше. По обычке дивиденды крайне сложно прогнозируемы. По префам с большой долей неопределенности можно ожидать выплат по уставу (2.25 рублей). Возможно улучшение ситуации когда или если компания снизит долг ниже 2х по коэффициенту читый долг/EBITDA."
247,Селигдар-п 9 месяцев 2021,Селигдар-п,Металлы и добыча,9 месяцев 2021,0.0,No,RUB,0%,43.9,24.12.2021,No,600.69,0.21,7293.63,0.0,150.0,0.43,0,"Устав Селигдар предусматривает фиксированный ежегодный дивиденд по префам в размере 2.25 руб. на акцию. Такой дивиденд выплачивается при условии достаточности для этих целей чистой прибыли и (или) специального фонда. В уставе не говорится о накоплении дивидендов и обязанности компании выплатить их позднее в случае, если они не выплачиваются за данный год. Согласно дивидендной политике Селигдар будет стремиться направлять на выплату дивидендов по всем типам акций не менее 30% прибыли по МСФО. При этом целевые значения выплат зависят от уровня долга компании (чистый долг/EBITDA). Если чистый долг/EBITDA < 1, то на дивиденды направляется 30% прибыли. Если чистый долг/EBITDA от 1 до 2, то - 20%. Если чистый долг/EBITDA от 2 до 3, то - 10%. Если чистый долг/EBITDA > 3, то дивиденды не выплачиваются. Текущее значение долг/EBITDA = 2.6, но компания активно снижает долг. Стабильность дивидендов низкая. По обыкновенным акциям выплачивают редко. По префам - чаще, то нередко пропускают или платят меньше. По обычке дивиденды крайне сложно прогнозируемы. По префам с большой долей неопределенности можно ожидать выплат по уставу (2.25 рублей). Возможно улучшение ситуации когда или если компания снизит долг ниже 2х по коэффициенту читый долг/EBITDA."
248,Селигдар-п всего 12м,Селигдар-п,Металлы и добыча,всего 12м,2.25,No,RUB,5.13%,43.9,Nan,No,600.69,0.21,4769.37,7.08,150.0,0.43,0,"Устав Селигдар предусматривает фиксированный ежегодный дивиденд по префам в размере 2.25 руб. на акцию. Такой дивиденд выплачивается при условии достаточности для этих целей чистой прибыли и (или) специального фонда. В уставе не говорится о накоплении дивидендов и обязанности компании выплатить их позднее в случае, если они не выплачиваются за данный год. Согласно дивидендной политике Селигдар будет стремиться направлять на выплату дивидендов по всем типам акций не менее 30% прибыли по МСФО. При этом целевые значения выплат зависят от уровня долга компании (чистый долг/EBITDA). Если чистый долг/EBITDA < 1, то на дивиденды направляется 30% прибыли. Если чистый долг/EBITDA от 1 до 2, то - 20%. Если чистый долг/EBITDA от 2 до 3, то - 10%. Если чистый долг/EBITDA > 3, то дивиденды не выплачиваются. Текущее значение долг/EBITDA = 2.6, но компания активно снижает долг. Стабильность дивидендов низкая. По обыкновенным акциям выплачивают редко. По префам - чаще, то нередко пропускают или платят меньше. По обычке дивиденды крайне сложно прогнозируемы. По префам с большой долей неопределенности можно ожидать выплат по уставу (2.25 рублей). Возможно улучшение ситуации когда или если компания снизит долг ниже 2х по коэффициенту читый долг/EBITDA."
249,Селигдар-п годовые 2021,Селигдар-п,Металлы и добыча,годовые 2021,2.25,No,RUB,5.13%,43.9,25.06.2022,No,600.69,0.21,4769.37,7.08,150.0,0.43,0,"Устав Селигдар предусматривает фиксированный ежегодный дивиденд по префам в размере 2.25 руб. на акцию. Такой дивиденд выплачивается при условии достаточности для этих целей чистой прибыли и (или) специального фонда. В уставе не говорится о накоплении дивидендов и обязанности компании выплатить их позднее в случае, если они не выплачиваются за данный год. Согласно дивидендной политике Селигдар будет стремиться направлять на выплату дивидендов по всем типам акций не менее 30% прибыли по МСФО. При этом целевые значения выплат зависят от уровня долга компании (чистый долг/EBITDA). Если чистый долг/EBITDA < 1, то на дивиденды направляется 30% прибыли. Если чистый долг/EBITDA от 1 до 2, то - 20%. Если чистый долг/EBITDA от 2 до 3, то - 10%. Если чистый долг/EBITDA > 3, то дивиденды не выплачиваются. Текущее значение долг/EBITDA = 2.6, но компания активно снижает долг. Стабильность дивидендов низкая. По обыкновенным акциям выплачивают редко. По префам - чаще, то нередко пропускают или платят меньше. По обычке дивиденды крайне сложно прогнозируемы. По префам с большой долей неопределенности можно ожидать выплат по уставу (2.25 рублей). Возможно улучшение ситуации когда или если компания снизит долг ниже 2х по коэффициенту читый долг/EBITDA."
250,Совкомфлот годовые 2020,Совкомфлот,Логистика,годовые 2020,6.67,Yes,RUB,7.24%,92.19,05.07.2021,Yes,3011.45,0.0,18808.0,84.23,2374.99,0,0,"Согласно дивидендной политике Совкомфлот направляет на дивиденды не менее 25% от чистой прибыли по МСФО, пересчитанной в рубли по курсу ЦБ РФ на конец отчетного периода."
251,Соллерс годовые 2020,Соллерс,Машиностроение,годовые 2020,0.0,No,RUB,0%,213.0,10.09.2021,No,100.4,0.0,0.0,0.0,32.56,0,0,"Дивидендная политика Соллерс: на дивиденды направляются все свободные денежные средства по МСФО, если значение Чистый долг/EBITDA менее порогового (сейчас пороговое значение установлено на уровне 1x). Как точно компания расчитывает чистый долг не всегда очевидно, но последние годы дивиденды не выплачиваются."
252,Сургутнефтегаз-ао годовые 2020,Сургутнефтегаз-ао,Нефть/Газ,годовые 2020,0.7,Yes,RUB,1.94%,36.17,20.07.2021,Yes,22656.42,0.68,742871.0,3.37,35725.35,1,0.36,"Обыкновенные акции Сургутнефтегаза традиционно имеют небольшую дивидендную доходность по сравнению с префами. Однако компания стабильно выплачивает дивиденды, имеет большой запас наличности, поэтому в будущем, при большей открытости компании, можно ожидать рост выплат и здесь. Главной особенностью компании является большая накопленная валютная денежная позиция. Ослабление рубля приводит к росту прибыли и дивидендов за счет переоценки валютной ""подушки"" и наоборот."
253,Сургутнефтегаз-п годовые 2020,Сургутнефтегаз-п,Нефть/Газ,годовые 2020,6.72,Yes,RUB,14.58%,46.08,20.07.2021,Yes,22656.42,0.5,742871.0,6.97,7702.0,1,0,"Согласно Уставу Сургутнефтегаз обязуется выплачивать дивиденды по привилегированным акциям в размере не менее 10% чистой прибыли, разделенной на число акций, которые составляют 25% уставного капитала, при этом не менее дивидендов по обыкновенным акциям. Базой выплат пока остается чистая прибыль по РСБУ. Главной особенностью компании является большая накопленная валютная денежная позиция в долларах. Ослабление рубля приводит к росту прибыли и дивидендов за счет переоценки валютной ""подушки"" и наоборот. По префам можно расчитывать на 7.1% от прибыли по РСБУ и на 0.60 руб. на акцию в случае убытков."
254,ТГК-1 годовые 2020,ТГК-1,Энергетика,годовые 2020,0.0,Yes,RUB,8.63%,0.01,05.07.2021,Yes,657.04,1.0,8062.0,51.16,3854341.42,1,1,"С 2020 года ТГК-1, как и все ""дочки"" Газпрома, начала выплачивать не менее 50% прибыли по МСФО."
255,ТМК I полугодие 2021,ТМК,Металлы и добыча,I полугодие 2021,2.0,No,RUB,2.93%,68.3,07.12.2021,No,970.53,0.79,3953.71,52.26,1033.14,1,0.57,"Согласно дивидендной политике, целью ТМК является выплата дивидендов в размере не менее 25% от годовой прибыли по МСФО, при условии, что при определении размера дивиденда будут приняты во внимание финансовые результаты, размер нераспределенной прибыли прошлых лет, капитальные затраты, доступность денежных средств из внешних источников, а также иные значимые факторы."
256,ТМК всего 12м,ТМК,Металлы и добыча,всего 12м,2.0,No,RUB,2.93%,68.3,Nan,No,970.53,0.79,7907.41,26.13,1033.14,1,0.57,"Согласно дивидендной политике, целью ТМК является выплата дивидендов в размере не менее 25% от годовой прибыли по МСФО, при условии, что при определении размера дивиденда будут приняты во внимание финансовые результаты, размер нераспределенной прибыли прошлых лет, капитальные затраты, доступность денежных средств из внешних источников, а также иные значимые факторы."
257,ТМК годовые 2021,ТМК,Металлы и добыча,годовые 2021,0.0,No,RUB,0%,68.3,26.04.2022,No,970.53,0.79,7907.41,0.0,1033.14,1,0.57,"Согласно дивидендной политике, целью ТМК является выплата дивидендов в размере не менее 25% от годовой прибыли по МСФО, при условии, что при определении размера дивиденда будут приняты во внимание финансовые результаты, размер нераспределенной прибыли прошлых лет, капитальные затраты, доступность денежных средств из внешних источников, а также иные значимые факторы."
258,ТНС энерго Кубань годовые 2021,ТНС энерго Кубань,Энергетика,годовые 2021,0.0,No,RUB,0%,131.5,15.06.2022,No,32.32,0.0,1200.2,0.0,17.16,0,0,"Дивидендная политика не определена. Выплата дивидендов ТНС-Энерго Кубань зависит от размера прибыли компании. При существенной прибыли (более 100 млн рублей) дивиденды, скорее всего, будут выплачены, но неопределенность высокая."
259,ТРК-ао годовые 2021,ТРК-ао,Энергетика,годовые 2021,0.0,No,RUB,0%,0.36,17.06.2022,No,21.1,0.5,63.06,0.0,3819.32,1,0,"В соответствии с уставом Томской распределительной компании (ТРК) по каждой привилегированной акции устанавливается дивиденд в размере 10% чистой прибыли по итогам финансового года (РСБУ), разделенной на число акций, которые составляют 25% уставного капитала (в настоящий момент это 1 099 002 145 штук). При этом дивиденд по привилегированной акции не может быть меньше дивиденда по обыкновенной. Дивидендная политика ТРК (как и МРСК) предусматривает выплаты по всем типам акций в 50% чистой прибыли, определенной как максимум из отчетностей РСБУ и МСФО. При этом такая чистая прибыль может корректироваться на обязательные отчисления, инвестиции из чистой прибыли, погашение убытков прошлых лет."
260,ТРК-п годовые 2021,ТРК-п,Энергетика,годовые 2021,0.0,No,RUB,0%,0.28,17.06.2022,No,21.1,0.5,63.06,0.0,576.69,1,0,"В соответствии с уставом Томской распределительной компании (ТРК) по каждой привилегированной акции устанавливается дивиденд в размере 10% чистой прибыли по итогам финансового года (РСБУ), разделенной на число акций, которые составляют 25% уставного капитала (в настоящий момент это 1 099 002 145 штук). При этом дивиденд по привилегированной акции не может быть меньше дивиденда по обыкновенной. Дивидендная политика ТРК (как и МРСК) предусматривает выплаты по всем типам акций в 50% чистой прибыли, определенной как максимум из отчетностей РСБУ и МСФО. При этом такая чистая прибыль может корректироваться на обязательные отчисления, инвестиции из чистой прибыли, погашение убытков прошлых лет."
261,Татнефть-ао I полугодие 2021,Татнефть-ао,Нефть/Газ,I полугодие 2021,22.81,No,RUB,4.34%,525.4,12.10.2021,No,16747.27,0.5,104247.87,47.68,2178.69,1,0,"В соответствии с Уставом, владельцы привилегированных акций имеют право на получение ежегодного фиксированного дивиденда, составляющего 100% от номинальной стоимости акций, если иное решение не принято общим собранием акционеров (номинальная стоимость равна 1 рубль). По обыкновенным акциям – рекомендация совета директоров. Согласно дивидендной политике, Татнефть будет платить не менее 50% прибыли по МСФО или РСБУ, в зависимости от большей величины. По обыкновенным акциям и префам платят равный дивиденд. Выплаты осуществляют 3 раза в год (за полугодие, 3 и 4 кварталы)."
262,Татнефть-ао III квартал 2021,Татнефть-ао,Нефть/Газ,III квартал 2021,12.73,No,RUB,2.42%,525.4,20.01.2022,No,16747.27,0.5,60562.17,45.81,2178.69,1,0,"В соответствии с Уставом, владельцы привилегированных акций имеют право на получение ежегодного фиксированного дивиденда, составляющего 100% от номинальной стоимости акций, если иное решение не принято общим собранием акционеров (номинальная стоимость равна 1 рубль). По обыкновенным акциям – рекомендация совета директоров. Согласно дивидендной политике, Татнефть будет платить не менее 50% прибыли по МСФО или РСБУ, в зависимости от большей величины. По обыкновенным акциям и префам платят равный дивиденд. Выплаты осуществляют 3 раза в год (за полугодие, 3 и 4 кварталы)."
263,Татнефть-ао IV квартал 2020,Татнефть-ао,Нефть/Газ,IV квартал 2020,12.3,Yes,RUB,2.34%,525.4,09.07.2021,Yes,16747.27,0.5,24893.0,107.65,2178.69,1,0,"В соответствии с Уставом, владельцы привилегированных акций имеют право на получение ежегодного фиксированного дивиденда, составляющего 100% от номинальной стоимости акций, если иное решение не принято общим собранием акционеров (номинальная стоимость равна 1 рубль). По обыкновенным акциям – рекомендация совета директоров. Согласно дивидендной политике, Татнефть будет платить не менее 50% прибыли по МСФО или РСБУ, в зависимости от большей величины. По обыкновенным акциям и префам платят равный дивиденд. Выплаты осуществляют 3 раза в год (за полугодие, 3 и 4 кварталы)."
264,Татнефть-ао всего 12м,Татнефть-ао,Нефть/Газ,всего 12м,47.85,No,RUB,9.11%,525.4,Nan,No,16747.27,0.5,189703.04,54.95,2178.69,1,0,"В соответствии с Уставом, владельцы привилегированных акций имеют право на получение ежегодного фиксированного дивиденда, составляющего 100% от номинальной стоимости акций, если иное решение не принято общим собранием акционеров (номинальная стоимость равна 1 рубль). По обыкновенным акциям – рекомендация совета директоров. Согласно дивидендной политике, Татнефть будет платить не менее 50% прибыли по МСФО или РСБУ, в зависимости от большей величины. По обыкновенным акциям и префам платят равный дивиденд. Выплаты осуществляют 3 раза в год (за полугодие, 3 и 4 кварталы)."
265,Татнефть-п I полугодие 2021,Татнефть-п,Нефть/Газ,I полугодие 2021,22.81,No,RUB,4.61%,494.5,12.10.2021,No,16747.27,0.5,104247.87,3.23,147.51,1,0,"В соответствии с Уставом, владельцы привилегированных акций имеют право на получение ежегодного фиксированного дивиденда, составляющего 100% от номинальной стоимости акций, если иное решение не принято общим собранием акционеров (номинальная стоимость равна 1 рубль). По обыкновенным акциям – рекомендация совета директоров. Согласно дивидендной политике, Татнефть будет платить не менее 50% прибыли по МСФО или РСБУ, в зависимости от большей величины. По обыкновенным акциям и префам платят равный дивиденд. Выплаты осуществляют 3 раза в год (за полугодие, 3 и 4 кварталы)."
266,Татнефть-п III квартал 2021,Татнефть-п,Нефть/Газ,III квартал 2021,12.73,No,RUB,2.58%,494.5,20.01.2022,No,16747.27,0.5,60562.17,3.1,147.51,1,0,"В соответствии с Уставом, владельцы привилегированных акций имеют право на получение ежегодного фиксированного дивиденда, составляющего 100% от номинальной стоимости акций, если иное решение не принято общим собранием акционеров (номинальная стоимость равна 1 рубль). По обыкновенным акциям – рекомендация совета директоров. Согласно дивидендной политике, Татнефть будет платить не менее 50% прибыли по МСФО или РСБУ, в зависимости от большей величины. По обыкновенным акциям и префам платят равный дивиденд. Выплаты осуществляют 3 раза в год (за полугодие, 3 и 4 кварталы)."
267,Татнефть-п IV квартал 2020,Татнефть-п,Нефть/Газ,IV квартал 2020,12.3,Yes,RUB,2.49%,494.5,09.07.2021,Yes,16747.27,0.5,24893.0,7.29,147.51,1,0,"В соответствии с Уставом, владельцы привилегированных акций имеют право на получение ежегодного фиксированного дивиденда, составляющего 100% от номинальной стоимости акций, если иное решение не принято общим собранием акционеров (номинальная стоимость равна 1 рубль). По обыкновенным акциям – рекомендация совета директоров. Согласно дивидендной политике, Татнефть будет платить не менее 50% прибыли по МСФО или РСБУ, в зависимости от большей величины. По обыкновенным акциям и префам платят равный дивиденд. Выплаты осуществляют 3 раза в год (за полугодие, 3 и 4 кварталы)."
268,Татнефть-п всего 12м,Татнефть-п,Нефть/Газ,всего 12м,47.85,No,RUB,9.68%,494.5,Nan,No,16747.27,0.5,189703.04,3.72,147.51,1,0,"В соответствии с Уставом, владельцы привилегированных акций имеют право на получение ежегодного фиксированного дивиденда, составляющего 100% от номинальной стоимости акций, если иное решение не принято общим собранием акционеров (номинальная стоимость равна 1 рубль). По обыкновенным акциям – рекомендация совета директоров. Согласно дивидендной политике, Татнефть будет платить не менее 50% прибыли по МСФО или РСБУ, в зависимости от большей величины. По обыкновенным акциям и префам платят равный дивиденд. Выплаты осуществляют 3 раза в год (за полугодие, 3 и 4 кварталы)."
269,Таттелеком годовые 2021,Таттелеком,Телекомы,годовые 2021,0.04,No,RUB,7.71%,0.58,01.06.2022,No,166.28,0.71,1864.56,50.0,20843.98,1,0.43,"Дивидендная политика Таттелеком (октябрь 2018): Совет  директоров  рекомендует  общему  собранию  акционеров  направлять  на  выплату  дивидендов  не  менее  50%  от  чистой  прибыли  Общества,  полученной  по  итогам  отчетного  периода,  если  иное  решение  не  требуется  для  реализации  стратегически  важных инвестиционных проектов. Дивиденды выплачиваются раз в год. Вероятно, основой для выплат является прибыль по РСБУ (она, как правило больше)."
270,Транснефть-п всего 12м,Транснефть-п,Нефть/Газ,всего 12м,9224.28,No,RUB,5.35%,172550.0,Nan,No,3690.12,0.64,133236.0,10.76,1.55,1,0.29,"По дивидендной политике компания будет платить 25%, 20% или 15% нормализованной прибыли по МСФО по итогам года в зависимости от уровня долговой нагрузки (но не менее 25% от чистой прибыли). Обыкновенные акции полностью принадлежат государству, по префам ранее платили 10% прибыли по РСБУ, которая значительно меньше. С 2017 года внесли поправки в устав, что ""размер дивиденда, выплачиваемый на одну привилегированную акцию, не может быть меньше размера дивиденда, выплачиваемого на одну обыкновенную акцию"". По итогам 2018 года на дивиденды по префам направили 16,6 млрд руб. - всю прибыль по РСБУ, в т.ч. нераспределенную прибыль прошлых лет. В 2020 году компания может закрепить выплату дивидендов на уровне 50% от нормализованной чистой прибыли."
271,Транснефть-п годовые 2020,Транснефть-п,Нефть/Газ,годовые 2020,9224.28,Yes,RUB,5.35%,172550.0,19.07.2021,No,3690.12,0.64,133236.0,10.76,1.55,1,0.29,"По дивидендной политике компания будет платить 25%, 20% или 15% нормализованной прибыли по МСФО по итогам года в зависимости от уровня долговой нагрузки (но не менее 25% от чистой прибыли). Обыкновенные акции полностью принадлежат государству, по префам ранее платили 10% прибыли по РСБУ, которая значительно меньше. С 2017 года внесли поправки в устав, что ""размер дивиденда, выплачиваемый на одну привилегированную акцию, не может быть меньше размера дивиденда, выплачиваемого на одну обыкновенную акцию"". По итогам 2018 года на дивиденды по префам направили 16,6 млрд руб. - всю прибыль по РСБУ, в т.ч. нераспределенную прибыль прошлых лет. В 2020 году компания может закрепить выплату дивидендов на уровне 50% от нормализованной чистой прибыли."
